respondent_id,age_group,visit_purpose,companion,memorable_exhibit,experience_rating,primary_emotion,emotion_intensity,revisit_intention
R049,20代,デート,友人,熱帯魚トンネル,5,癒し,4,ぜひ行きたい
R050,30代,デート,家族,ペンギン館,4,ワクワク,5,ぜひ行きたい
R051,40代,デート,一人,イルカショー,3,ワクワク,2,どちらとも言えない
R052,40代,友人とのレジャー,家族,イルカショー,3,ワクワク,4,行きたい
R053,50代以上,友人とのレジャー,恋人・配偶者,イルカショー,4,感動,5,行きたい
R054,10代,デート,恋人・配偶者,クラゲゾーン,4,癒し,5,行きたい
R055,50代以上,その他,一人,触れ合いプール,3,特にない,3,どちらとも言えない
R056,10代,デート,一人,触れ合いプール,4,感動,3,どちらとも言えない
R057,50代以上,その他,家族,イルカショー,3,ロマンチック,2,行きたくない
R058,30代,デート,友人,触れ合いプール,4,ワクワク,4,行きたい
R059,50代以上,家族レジャー,家族,触れ合いプール,4,特にない,4,ぜひ行きたい
R060,40代,友人とのレジャー,一人,触れ合いプール,2,感動,2,どちらとも言えない
R061,50代以上,その他,友人,熱帯魚トンネル,4,ロマンチック,4,ぜひ行きたい
R062,30代,家族レジャー,恋人・配偶者,ペンギン館,4,感動,3,行きたい
R063,50代以上,家族レジャー,家族,クラゲゾーン,2,ワクワク,1,行きたくない
R064,40代,一人での観光,一人,熱帯魚トンネル,3,特にない,4,どちらとも言えない
R065,20代,家族レジャー,家族,その他,2,ワクワク,2,どちらとも言えない
R066,40代,その他,一人,ペンギン館,2,驚き,1,どちらとも言えない
R067,50代以上,一人での観光,その他,熱帯魚トンネル,3,ロマンチック,4,どちらとも言えない
R068,50代以上,家族レジャー,一人,熱帯魚トンネル,4,感動,3,どちらとも言えない
R069,20代,家族レジャー,友人,イルカショー,4,ワクワク,5,行きたい
R070,40代,友人とのレジャー,友人,その他,2,癒し,1,どちらとも言えない
R071,50代以上,家族レジャー,家族,熱帯魚トンネル,2,ロマンチック,2,行きたくない
R072,50代以上,一人での観光,恋人・配偶者,熱帯魚トンネル,4,ワクワク,4,ぜひ行きたい
R073,50代以上,一人での観光,恋人・配偶者,その他,4,感動,4,行きたい
R074,40代,その他,その他,熱帯魚トンネル,3,ロマンチック,2,行きたくない
R075,40代,デート,一人,ペンギン館,4,ワクワク,5,ぜひ行きたい
R076,10代,その他,その他,その他,2,ロマンチック,3,どちらとも言えない
R077,40代,一人での観光,家族,イルカショー,4,癒し,3,どちらとも言えない
R078,40代,家族レジャー,一人,イルカショー,3,感動,3,どちらとも言えない
R079,10代,デート,一人,その他,3,ロマンチック,3,行きたい
R080,20代,デート,恋人・配偶者,ペンギン館,4,癒し,3,行きたい
R081,30代,一人での観光,恋人・配偶者,ペンギン館,4,ワクワク,5,行きたい
R082,50代以上,その他,その他,クラゲゾーン,2,癒し,2,どちらとも言えない
R083,10代,友人とのレジャー,その他,触れ合いプール,4,ロマンチック,5,ぜひ行きたい
R084,30代,家族レジャー,恋人・配偶者,触れ合いプール,4,ロマンチック,5,ぜひ行きたい
R085,10代,一人での観光,友人,熱帯魚トンネル,2,驚き,3,行きたくない
R086,20代,一人での観光,恋人・配偶者,熱帯魚トンネル,5,感動,5,行きたい
R087,40代,家族レジャー,その他,熱帯魚トンネル,3,驚き,4,どちらとも言えない
R088,40代,その他,友人,ペンギン館,3,癒し,2,行きたくない
R089,30代,一人での観光,その他,ペンギン館,4,感動,3,どちらとも言えない
R090,50代以上,一人での観光,家族,その他,3,感動,3,どちらとも言えない
R091,20代,友人とのレジャー,その他,その他,2,驚き,1,どちらとも言えない
R092,40代,一人での観光,一人,クラゲゾーン,3,特にない,3,どちらとも言えない
R093,30代,デート,友人,その他,4,ワクワク,5,ぜひ行きたい
R094,40代,その他,友人,その他,4,驚き,5,行きたい
R095,30代,その他,友人,イルカショー,3,特にない,3,どちらとも言えない
R096,20代,家族レジャー,恋人・配偶者,ペンギン館,4,感動,3,行きたい
R097,20代,一人での観光,友人,イルカショー,3,ワクワク,2,行きたくない
R098,30代,家族レジャー,友人,クラゲゾーン,2,特にない,3,どちらとも言えない
R099,10代,デート,その他,クラゲゾーン,4,癒し,5,行きたい
R100,20代,その他,友人,クラゲゾーン,4,ロマンチック,4,行きたい
R101,10代,友人とのレジャー,一人,触れ合いプール,2,ワクワク,2,行きたくない
R102,10代,デート,家族,触れ合いプール,4,感動,3,行きたい
R103,40代,一人での観光,その他,イルカショー,3,驚き,3,どちらとも言えない
R104,50代以上,その他,一人,その他,3,驚き,4,行きたい
R105,20代,デート,家族,ペンギン館,4,感動,5,ぜひ行きたい
R106,40代,家族レジャー,その他,その他,2,癒し,1,行きたくない
R107,30代,その他,一人,その他,3,ワクワク,2,行きたくない
R108,40代,一人での観光,恋人・配偶者,クラゲゾーン,4,感動,5,ぜひ行きたい
R109,10代,その他,家族,ペンギン館,3,感動,2,どちらとも言えない
R110,30代,友人とのレジャー,その他,その他,3,ロマンチック,2,行きたくない
R111,40代,一人での観光,友人,その他,4,ロマンチック,3,行きたい
R112,50代以上,友人とのレジャー,その他,触れ合いプール,3,ワクワク,2,どちらとも言えない
R113,30代,デート,友人,ペンギン館,3,癒し,3,どちらとも言えない
R114,40代,その他,一人,イルカショー,4,ワクワク,4,行きたい
R115,30代,友人とのレジャー,恋人・配偶者,その他,4,感動,4,行きたい
R116,30代,一人での観光,その他,イルカショー,2,ロマンチック,1,行きたくない
R117,20代,デート,一人,触れ合いプール,3,ワクワク,3,行きたい
R118,20代,友人とのレジャー,その他,イルカショー,4,特にない,4,ぜひ行きたい
R119,10代,その他,家族,クラゲゾーン,3,ロマンチック,4,どちらとも言えない
R120,50代以上,その他,家族,熱帯魚トンネル,3,感動,4,行きたい
